GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 00000,United States, ,CAINC5N,806.0,486,    Pipeline transportation ,Thousands of dollars,12748000,6618000,6566000,7425000,6967000,7472000,8566000,11410000,12630000,15015000,18927000,21492000,24213000,28364000,36147000,36357000,42240000,42737000,39750000,43828000,42095000,51195000,55350000
 00000,United States, ,CAINC5N,807.0,487,    Scenic and sightseeing transportation ,Thousands of dollars,1144000,1016000,1013000,1046000,1089000,1173000,1270000,1229000,1143000,1212000,1336000,1423000,1527000,1626000,1737000,1733000,1777000,1928000,2066000,1465000,1847000,2250000,2423000
 00000,United States, ,CAINC5N,808.0,488,    Support activities for transportation ,Thousands of dollars,29009000,29459000,30191000,32466000,34522000,37628000,40476000,40084000,36791000,39311000,43052000,45006000,46634000,50165000,54638000,53072000,55179000,60861000,67257000,67131000,75661000,85586000,91250000
 00000,United States, ,CAINC5N,809.0,492,    Couriers and messengers ,Thousands of dollars,25071000,25079000,26000000,27930000,28602000,28698000,30116000,30325000,29577000,29434000,29275000,30436000,30697000,31838000,34137000,36804000,38897000,42197000,45375000,54146000,66396000,65915000,67507000
 00000,United States, ,CAINC5N,811.0,493,    Warehousing and storage ,Thousands of dollars,20210000,20627000,21903000,25503000,27961000,28701000,31301000,32152000,32502000,32799000,33268000,35699000,36481000,38178000,43269000,48643000,53721000,60397000,64475000,76383000,93502000,108744000,110755000
 00000,United States, ,CAINC5N,900.0,51,   Information ,Thousands of dollars,271079000,260388000,260829000,269502000,270094000,275398000,298442000,305284000,297491000,294127000,305701000,325217000,351557000,366197000,384512000,396673000,412603000,451915000,473558000,489896000,566671000,567947000,601510000
 00000,United States, ,CAINC5N,901.0,511,    Publishing industries (except Internet) ,Thousands of dollars,73902000,69971000,71969000,72271000,73267000,76570000,83517000,81342000,76997000,75929000,81013000,82885000,84443000,90530000,95329000,95850000,102593000,113414000,121830000,134661000,164588000,163280000,176926000
 00000,United States, ,CAINC5N,902.0,512,    Motion picture and sound recording industries ,Thousands of dollars,25146000,24731000,25158000,23798000,22581000,23195000,27686000,25475000,29227000,29835000,30669000,34307000,35305000,36782000,39590000,36511000,37928000,39865000,41920000,35972000,49609000,53083000,45045000
 00000,United States, ,CAINC5N,903.0,515,    Broadcasting (except Internet) ,Thousands of dollars,41134000,45184000,44295000,49414000,49432000,48257000,53656000,65925000,62004000,61435000,61698000,68987000,77519000,75272000,78688000,85880000,81183000,90537000,89594000,79702000,68528000,65507000,72671000
 00000,United States, ,CAINC5N,904.0,516,    Internet publishing and broadcasting 8/,Thousands of dollars,3695000,3029000,3064000,3296000,3635000,4044000,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
 00000,United States, ,CAINC5N,905.0,517,    Telecommunications ,Thousands of dollars,87174000,82806000,81818000,84019000,83066000,83123000,92156000,90224000,88991000,85318000,85897000,86567000,87529000,91085000,87571000,88023000,87022000,86502000,86420000,86818000,89089000,89068000,92584000
 00000,United States, ,CAINC5N,906.0,518,"    Data processing, hosting, and related services ",Thousands of dollars,37370000,31690000,31401000,33126000,34231000,36067000,26215000,25732000,24580000,24712000,26154000,27907000,30331000,33247000,37695000,39899000,43356000,51308000,56123000,60902000,76701000,94075000,105901000
 00000,United States, ,CAINC5N,907.0,519,    Other information services 8/,Thousands of dollars,2658000,2977000,3124000,3578000,3882000,4142000,15212000,16586000,15692000,16898000,20270000,24564000,36430000,39281000,45639000,50510000,60521000,70289000,77671000,91841000,118156000,102934000,108383000
 00000,United States, ,CAINC5N,1000.0,52,   Finance and insurance ,Thousands of dollars,504698000,499141000,512579000,547367000,583048000,630289000,663890000,641805000,625838000,665035000,668137000,703889000,697591000,703659000,727773000,779950000,845909000,858608000,894768000,983054000,1066895000,1092914000,1131407000
 00000,United States, ,CAINC5N,1001.0,521,    Monetary Authorities-central bank ,Thousands of dollars,1350000,1450000,1451000,1475000,1535000,1635000,1746000,1949000,2034000,2090000,2032000,2003000,2159000,2261000,2348000,2528000,2672000,2893000,2963000,3108000,3338000,3517000,3820000
 00000,United States, ,CAINC5N,1002.0,522,    Credit intermediation and related activities ,Thousands of dollars,156615000,167376000,183185000,191915000,208999000,219029000,225255000,222909000,205333000,207208000,202298000,231395000,221235000,225893000,242184000,253331000,272883000,283839000,301953000,333198000,364565000,350616000,357175000
 00000,United States, ,CAINC5N,1003.0,523,"    Securities, commodity contracts, and other financial investments and related activities ",Thousands of dollars,173296000,155531000,148190000,163125000,170941000,201198000,213867000,192877000,212397000,245278000,244134000,239406000,232777000,221690000,212587000,247321000,276057000,264824000,272152000,312874000,357281000,369051000,376944000
